ano,fecha,entidad,clave_est,municipio,clave_municipal,cvegeo,colonia_o_comunidad,descripcion_geo,fosas,total_cuerpos,masculino,femenino,links
2020,2020-01-27,Guanajuato,11,Celaya,007,11007,Comunidad Becerro,"NA",1,1,NA,1,https://periodicocorreo.com.mx/localizan-fosa-clandestina-en-celaya/
2020,2020-01-24,Guanajuato,11,Celaya,007,11007,San Juan de la Vega,"A espaldas del panteon, calle Hidalgo, en un baldío",1,1,NA,NA,http://articulo7.net/noticias/nota-roja/encuentran-fosa-en-san-juan-de-la-vega/
2020,2020-01-19,Guanajuato,11,Silao de la Victoria,037,11037,Comunidad Unión de Tres Mezquites,El Guajolote,1,1,NA,NA,https://zonafranca.mx/seguridad/hallan-otra-presunta-fosa-clandestina-en-silao/
2020,2020-01-18,Guanajuato,11,Cortázar,011,11011,La Isla,"Rio Laja, detrás de gasolinera, entrada del municipio",1,1,NA,NA,https://periodicocorreo.com.mx/dan-con-cuerpo-en-avanzado-grado-de-descomposicion-a-un-costado-del-rio-laja/
2020,2020-01-16,Guanajuato,11,Silao de la Victoria,037,11037,Comunidad Unión de Tres Mezquites,"Río Silao, límite con San Dieguillo. A un costado del Río Silao",1,4,3,1,https://zonafranca.mx/seguridad/localizan-fosa-en-comunidad-de-silao/
2020,2020-01-15,Guanajuato,11,Salamanca,027,11027,Comunidad El Huaricho,Camino de terracería entre El Huaricho y Zapote de Covarrubias,1,1,1,NA,https://www.elsoldesalamanca.com.mx/policiaca/localizan-cuerpo-semienterrado-en-comunidad-huaricho-4706780.html
2020,2020-01-06,Guanajuato,11,Irapuato,017,11017,Comunidad Venado de Yostiro,Camino vecinal,1,5,NA,NA,https://www.elsoldeirapuato.com.mx/policiaca/hallan-otra-fosa-clandestina-en-venado-de-yostiro-4667729.html
2020,2020-01-05,Guanajuato,11,Salamanca,027,11027,Comunidad El Socorro,Camino a la Comunidad El Godoy,1,2,1,1,http://salmantino.mx/2020-localizan-una-pareja-semi-enterrada-en-la-comunidad-de-el-socorro/
2019,2019-12-26,Guanajuato,11,León,020,11020,Llano Grande o comunidad Esperanza de Alfaro en dirección a la zona de Medina,"Llano Grande Camino Alfaro en el km. 2 Camino a Alfaro, casi esquina con el Camino A la Presa del Salto",1,1,NA,NA,https://zonafranca.mx/seguridad/encuentran-restos-humanos-semienterrados-en-esperanza-de-alfaro/
2019,2019-12-23,Guanajuato,11,Irapuato,017,11017,Capilla de Yostiro,Cerro que divide Yostiro de comunidad La Víbora,1,1,NA,NA,https://periodicocorreo.com.mx/fiscalia-confirma-encuentro-de-restos-humanos-en-irapuato/
2019,2019-12-10,Guanajuato,11,Irapuato,017,11017,San Antonio El Rico (límites con San Vicente),"NA",1,4,2,2,https://zonafranca.mx/seguridad/localizan-otra-fosa-clandestina-en-irapuato/
